No,Country/Region,App,Date,Ad requests,Returned ads,Impressions,Clicks,Fill rate%,Impression rate%,Click-through rate%,Estimated total revenue (USD),RPM (USD),Viewable impressions,Viewable impression rate%
44,"	Czech Republic","	Kick Ball Crazy","	20210426",393,364,221,38,92.62,60.71,17.19,0.31,1.42,221,60.71
45,"	Burkina Faso","	Kick Ball Crazy","	20210426",114,114,88,14,100,77.19,15.91,0.31,3.55,89,78.07
46,"	Qatar","	Kick Ball Crazy","	20210426",560,313,211,28,55.89,67.41,13.27,0.29,1.36,230,73.48
47,"	Pakistan","	Kick Ball Crazy","	20210426",975,692,398,61,70.97,57.51,15.33,0.26,0.64,407,58.82
48,"	Slovenia","	Kick Ball Crazy","	20210426",650,414,270,18,63.69,65.22,6.67,0.26,0.94,280,67.63
49,"	Switzerland","	Kick Ball Crazy","	20210426",577,492,222,49,85.27,45.12,22.07,0.25,1.13,222,45.12
50,"	Peru","	Kick Ball Crazy","	20210426",685,237,203,28,34.6,85.65,13.79,0.23,1.12,205,86.5
51,"	Mexico","	Kick Ball Crazy","	20210426",282,153,106,12,54.26,69.28,11.32,0.2,1.92,108,70.59
52,"	Thailand","	Kick Ball Crazy","	20210426",672,557,248,37,82.89,44.52,14.92,0.19,0.75,255,45.78
53,"	Austria","	Kick Ball Crazy","	20210426",527,506,144,23,96.02,28.46,15.97,0.18,1.27,149,29.45
54,"	Brazil","	Kick Ball Crazy","	20210426",217,125,109,13,57.6,87.2,11.93,0.16,1.51,110,88
55,"	Bangladesh","	Kick Ball Crazy","	20210426",2648,610,298,38,23.04,48.85,12.75,0.16,0.54,306,50.16
56,"	Bahrain","	Kick Ball Crazy","	20210426",272,90,87,18,33.09,96.67,20.69,0.15,1.68,87,96.67
57,"	Slovakia","	Kick Ball Crazy","	20210426",196,142,66,12,72.45,46.48,18.18,0.12,1.83,69,48.59
58,"	Belgium","	Kick Ball Crazy","	20210426",420,295,144,7,70.24,48.81,4.86,0.1,0.67,144,48.81
59,"	Costa Rica","	Kick Ball Crazy","	20210426",317,89,82,9,28.08,92.13,10.98,0.09,1.16,83,93.26
60,"	Guatemala","	Kick Ball Crazy","	20210426",41,10,10,3,24.39,100,30,0.08,8.22,10,100
61,"	Ireland","	Kick Ball Crazy","	20210426",46,46,37,3,100,80.43,8.11,0.08,2.13,37,80.43
62,"	Lebanon","	Kick Ball Crazy","	20210426",575,253,144,39,44,56.92,27.08,0.07,0.49,154,60.87
63,"	Indonesia","	Kick Ball Crazy","	20210426",256,85,52,7,33.2,61.18,13.46,0.07,1.3,53,62.35
64,"	Nepal","	Kick Ball Crazy","	20210426",145,75,66,13,51.72,88,19.7,0.05,0.81,67,89.33
65,"	Algeria","	Kick Ball Crazy","	20210426",152,105,94,23,69.08,89.52,24.47,0.04,0.48,95,90.48
66,"	Colombia","	Kick Ball Crazy","	20210426",511,71,65,10,13.89,91.55,15.38,0.04,0.58,65,91.55
67,"	Belarus","	Kick Ball Crazy","	20210426",436,84,66,9,19.27,78.57,13.64,0.04,0.54,66,78.57
68,"	Honduras","	Kick Ball Crazy","	20210426",71,43,42,5,60.56,97.67,11.9,0.03,0.69,42,97.67
69,"	Aruba","	Kick Ball Crazy","	20210426",49,49,25,7,100,51.02,28,0.03,1.15,35,71.43
70,"	Albania","	Kick Ball Crazy","	20210426",36,18,18,0,50,100,0,0.02,1.3,18,100
71,"	Moldova","	Kick Ball Crazy","	20210426",59,46,32,1,77.97,69.57,3.12,0.02,0.62,33,71.74
72,"	Sri Lanka","	Kick Ball Crazy","	20210426",258,79,35,8,30.62,44.3,22.86,0.02,0.55,47,59.49
73,"	Côte d'Ivoire","	Kick Ball Crazy","	20210426",85,78,50,8,91.76,64.1,16,0.02,0.38,52,66.67
74,"	Canada","	Kick Ball Crazy","	20210426",103,97,38,6,94.17,39.18,15.79,0.02,0.48,51,52.58
75,"	Singapore","	Kick Ball Crazy","	20210426",66,50,35,5,75.76,70,14.29,0.02,0.47,35,70
76,"	Libya","	Kick Ball Crazy","	20210426",130,28,19,1,21.54,67.86,5.26,0.01,0.75,19,67.86
77,"	Azerbaijan","	Kick Ball Crazy","	20210426",90,36,22,6,40,61.11,27.27,0.01,0.61,22,61.11
78,"	India","	Kick Ball Crazy","	20210426",484,84,49,4,17.36,58.33,8.16,0.01,0.26,56,66.67
79,"	Zimbabwe","	Kick Ball Crazy","	20210426",28,26,20,4,92.86,76.92,20,0.01,0.62,26,100
80,"	Laos","	Kick Ball Crazy","	20210426",88,62,14,3,70.45,22.58,21.43,0.01,0.8,14,22.58
81,"	Vietnam","	Kick Ball Crazy","	20210426",16,12,12,1,75,100,8.33,0.01,0.65,12,100
82,"	Afghanistan","	Kick Ball Crazy","	20210426",22,22,13,1,100,59.09,7.69,0.01,0.58,20,90.91
83,"	Mauritius","	Kick Ball Crazy","	20210426",61,15,15,3,24.59,100,20,0.01,0.49,15,100
84,"	Ecuador","	Kick Ball Crazy","	20210426",21,7,6,1,33.33,85.71,16.67,0,0.79,6,85.71
85,"	Montserrat","	Kick Ball Crazy","	20210426",7,7,6,3,100,85.71,50,0,0.68,6,85.71
86,"	the State of Palestine","	Kick Ball Crazy","	20210426",4,4,4,0,100,100,0,0,0.95,4,100
87,"	Montenegro","	Kick Ball Crazy","	20210426",189,11,11,1,5.82,100,9.09,0,0.29,11,100
88,"	Cambodia","	Kick Ball Crazy","	20210426",72,20,7,1,27.78,35,14.29,0,0.45,7,35
89,"	Guadeloupe","	Kick Ball Crazy","	20210426",88,79,52,0,89.77,65.82,0,0,0.06,61,77.22
90,"	Kenya","	Kick Ball Crazy","	20210426",4,4,4,0,100,100,0,0,0.72,4,100
91,"	Kazakhstan","	Kick Ball Crazy","	20210426",18,2,2,0,11.11,100,0,0,0.96,2,100
92,"	Benin","	Kick Ball Crazy","	20210426",22,5,5,5,22.73,100,100,0,0.32,5,100
93,"	Ethiopia","	Kick Ball Crazy","	20210426",74,13,3,2,17.57,23.08,66.67,0,0.41,3,23.08
94,"	Somalia","	Kick Ball Crazy","	20210426",383,2,1,0,0.52,50,0,0,1.08,1,50
95,"	Senegal","	Kick Ball Crazy","	20210426",32,1,1,0,3.13,100,0,0,1.08,1,100
96,"	Mali","	Kick Ball Crazy","	20210426",13,3,1,0,23.08,33.33,0,0,0.73,1,33.33
97,"	Virgin Islands(U.S.)","	Kick Ball Crazy","	20210426",31,0,0,0,0,0,0,0,0,0,0
98,"	Namibia","	Kick Ball Crazy","	20210426",1,0,0,0,0,0,0,0,0,0,0
99,"	Macao(China)","	Kick Ball Crazy","	20210426",7,6,0,0,85.71,0,0,0,0,0,0
100,"	Gabon","	Kick Ball Crazy","	20210426",16,0,0,0,0,0,0,0,0,0,0
101,"	Antigua and Barbuda","	Kick Ball Crazy","	20210426",18,6,0,0,33.33,0,0,0,0,0,0
102,"	The Kingdom of Eswatini","	Kick Ball Crazy","	20210426",40,0,0,0,0,0,0,0,0,0,0
103,"	Argentina","	Kick Ball Crazy","	20210426",45,0,0,0,0,0,0,0,0,0,0
104,"	Djibouti","	Kick Ball Crazy","	20210426",144,0,0,0,0,0,0,0,0,0,0
105,"	New Zealand","	Kick Ball Crazy","	20210426",3,3,2,1,100,66.67,50,0,0,2,66.67
106,"	Panama","	Kick Ball Crazy","	20210426",219,0,0,0,0,0,0,0,0,0,0
107,"	Chinese mainland","	Kick Ball Crazy","	20210426",695,0,0,0,0,0,0,0,0,0,0
108,"	Mauritania","	Kick Ball Crazy","	20210426",7,0,0,0,0,0,0,0,0,0,0
109,"	Georgia","	Kick Ball Crazy","	20210426",12,0,0,0,0,0,0,0,0,0,0
110,"	Hong Kong(China)","	Kick Ball Crazy","	20210426",92,14,14,1,15.22,100,7.14,0,0,14,100
111,"	Uruguay","	Kick Ball Crazy","	20210426",43,0,0,0,0,0,0,0,0,0,0
112,"	Germany","	Kick Ball Crazy","	20210425",27834,27768,13001,2461,99.76,46.82,18.93,186.72,14.36,13056,47.02
113,"	Poland","	Kick Ball Crazy","	20210425",76615,74885,17031,2336,97.74,22.74,13.72,98.56,5.79,17271,23.06
114,"	France","	Kick Ball Crazy","	20210425",58246,57931,23382,3625,99.46,40.36,15.5,61.09,2.61,23562,40.67
115,"	Italy","	Kick Ball Crazy","	20210425",20389,20096,11993,1941,98.56,59.68,16.18,53.82,4.49,12050,59.96
116,"	Saudi Arabia","	Kick Ball Crazy","	20210425",30912,30074,18160,2921,97.29,60.38,16.08,41.34,2.28,18624,61.93
117,"	Iraq","	Kick Ball Crazy","	20210425",8441,7860,4284,880,93.12,54.5,20.54,18.51,4.32,4421,56.25
118,"	Egypt","	Kick Ball Crazy","	20210425",21351,20741,11597,2101,97.14,55.91,18.12,18.29,1.58,12186,58.75
119,"	United Kingdom","	Kick Ball Crazy","	20210425",4048,3764,1531,251,92.98,40.67,16.39,8.67,5.66,1551,41.21
120,"	Norway","	Kick Ball Crazy","	20210425",4895,4706,2016,274,96.14,42.84,13.59,7.77,3.85,2051,43.58
121,"	Jordan","	Kick Ball Crazy","	20210425",8675,6732,4357,720,77.6,64.72,16.53,7.7,1.77,4529,67.28
122,"	Romania","	Kick Ball Crazy","	20210425",5067,3242,1927,235,63.98,59.44,12.2,6.04,3.14,1971,60.8
123,"	Turkey","	Kick Ball Crazy","	20210425",4246,4230,1632,215,99.62,38.58,13.17,5.62,3.44,1638,38.72
124,"	Greece","	Kick Ball Crazy","	20210425",7362,3541,1825,267,48.1,51.54,14.63,5.16,2.83,1885,53.23
125,"	Russia","	Kick Ball Crazy","	20210425",6242,4638,3987,518,74.3,85.96,12.99,3.75,0.94,4105,88.51
126,"	the United Arab Emirates","	Kick Ball Crazy","	20210425",4853,4446,2668,458,91.61,60.01,17.17,3.74,1.4,2740,61.63
127,"	Réunion","	Kick Ball Crazy","	20210425",283,248,154,32,87.63,62.1,20.78,3.26,21.14,154,62.1
128,"	Portugal","	Kick Ball Crazy","	20210425",4499,3265,1493,140,72.57,45.73,9.38,2.41,1.61,1516,46.43
129,"	Ukraine","	Kick Ball Crazy","	20210425",4430,2911,1914,169,65.71,65.75,8.83,2.4,1.25,1938,66.58
130,"	Malaysia","	Kick Ball Crazy","	20210425",994,754,520,61,75.86,68.97,11.73,2.38,4.58,543,72.02
131,"	Macedonia","	Kick Ball Crazy","	20210425",2112,1257,625,97,59.52,49.72,15.52,2.15,3.43,637,50.68
132,"	South Africa","	Kick Ball Crazy","	20210425",5806,4629,3058,441,79.73,66.06,14.42,1.98,0.65,3199,69.11
